sample,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,qc_pass
DN-64554,3.91,96.07,7055,489499,TRUE
DC-31756,4.14,95.93,7055,527966,TRUE
DD-28879,4.32,95.68,9033,444775,TRUE
DD-22466,3.63,96.37,7055,621979,TRUE
DC-95171,4.13,95.86,8855,510658,TRUE
DT-54370,3.80,96.18,12196,612425,TRUE
DT-97532,0.24,99.74,29786,644779,TRUE
DD-48974,0.12,99.86,29822,719234,TRUE
DC-90361,0.24,99.74,29786,519893,TRUE
DN-98948,3.37,96.61,7055,474390,TRUE
DN-76504,3.40,96.59,8855,477512,TRUE
DD-37662,4.18,95.81,7085,476483,TRUE
DN-66808,0.12,99.86,29820,779172,TRUE
DN-37441,0.26,99.72,29812,849640,TRUE
DC-62152,0.17,99.81,29808,593648,TRUE
DT-68271,0.25,99.72,29780,737286,TRUE
DN-79245,0.35,99.63,29785,1047579,TRUE
DD-77004,0.15,99.83,29813,812484,TRUE
DN-77467,0.35,99.63,29786,984446,TRUE
DT-66946,0.24,99.74,29786,877584,TRUE
DN-60398,0.13,99.85,29822,754212,TRUE
DD-91979,0.11,99.87,29823,823187,TRUE
DN-98960,0.28,99.70,29807,791694,TRUE
DT-72902,0.12,99.86,29822,1099856,TRUE
DC-37195,0.78,99.20,21679,687211,TRUE
DD-31506,0.25,99.73,29786,980442,TRUE
DN-32372,0.25,99.73,29786,809606,TRUE
DC-99866,1.23,98.75,19238,944453,TRUE
DT-74989,0.38,99.60,19238,649855,TRUE
DT-27338,0.35,99.63,29786,860207,TRUE
DN-75815,2.08,97.90,14987,825674,TRUE
DC-96098,0.24,99.74,29820,1023168,TRUE
DD-82918,3.19,96.79,9086,584038,TRUE
DC-64420,3.70,96.30,7746,664460,TRUE
DT-66036,3.32,96.66,11944,599762,TRUE
DC-34214,0.34,99.64,29789,1061987,TRUE
DD-63777,3.18,96.80,7054,412908,TRUE
DD-73562,3.91,96.07,7522,636163,TRUE
DT-51879,2.99,96.99,7834,602242,TRUE
DC-38408,0.28,99.70,29808,838184,TRUE
DD-58850,0.26,99.72,29812,741958,TRUE
DC-71382,0.25,99.73,29786,760041,TRUE
DC-38805,3.52,96.46,9112,499373,TRUE
DD-25132,1.78,98.20,14597,670692,TRUE
DD-81509,0.24,99.74,29820,952715,TRUE
DC-29001,1.70,98.28,14385,569616,TRUE
DN-27638,0.26,99.72,29813,983359,TRUE
DD-32112,0.24,99.74,29780,796097,TRUE
DT-60350,0.16,99.82,29817,865658,TRUE
DD-57228,0.59,99.39,23030,775065,TRUE
DD-45193,1.17,98.81,21707,765610,TRUE
DT-70372,0.23,99.75,29786,793316,TRUE
DD-48404,0.12,99.86,29820,816584,TRUE
DC-85962,0.45,99.53,19238,1021813,TRUE
DC-40780,0.95,99.07,14385,708909,TRUE
DT-26241,0.14,99.84,29818,700581,TRUE
DC-76881,0.23,99.75,21988,817119,TRUE
DD-88392,0.28,99.70,21974,947538,TRUE
DD-45149,2.26,97.72,19238,871388,TRUE
DT-92242,0.28,99.70,29807,843807,TRUE
DD-84388,0.33,99.65,29793,957118,TRUE
DT-31118,0.78,99.20,19397,890254,TRUE
DN-37355,0.24,99.74,29786,894239,TRUE
DN-92990,0.47,99.51,23032,682032,TRUE
DD-39192,0.58,99.42,19530,843701,TRUE
DT-55890,0.26,99.67,29795,1117922,TRUE
DD-76985,0.60,99.40,21976,680267,TRUE
DT-35064,0.24,99.74,29783,785513,TRUE
DC-43462,0.66,99.32,19272,934910,TRUE
DD-22330,0.12,99.86,29821,916580,TRUE
DN-14904,0.28,99.70,29808,620938,TRUE
DC-46640,0.29,99.69,21679,836862,TRUE
DD-26154,0.25,99.73,29816,801485,TRUE
DT-62458,2.16,97.82,19238,671600,TRUE
DN-74938,4.22,95.77,7668,705987,TRUE
DD-79433,4.69,95.33,7055,530893,TRUE
DN-63511,0.35,99.63,29786,858298,TRUE
DT-12354,0.13,99.85,29821,949369,TRUE
DD-79817,1.04,98.94,21663,923146,TRUE
DN-35395,0.35,99.63,29786,905619,TRUE
DC-79166,1.34,98.64,14646,627040,TRUE
DN-11350,2.67,97.31,19265,723746,TRUE
DC-31009,0.14,99.84,29813,718296,TRUE
DC-34120,0.25,99.73,29786,726759,TRUE
DD-56928,1.74,98.24,14385,640673,TRUE
DT-99103,0.50,99.48,21909,909530,TRUE
DT-96567,0.60,99.38,21801,891223,TRUE
DD-26057,0.38,99.60,19238,1127892,TRUE
DT-85197,0.51,99.47,19371,1023461,TRUE
DT-21778,0.40,99.58,19487,1041955,TRUE
DT-30281,1.04,98.94,21696,976955,TRUE
DN-31163,1.03,98.95,19238,917721,TRUE
DT-42241,0.72,99.26,19238,798532,TRUE
DT-67174,0.24,99.74,29820,1001222,TRUE
DD-74492,0.14,99.84,29819,1063841,TRUE
DD-87410,0.35,99.63,29785,668275,TRUE
DC-78063,0.26,99.72,29812,952957,TRUE
DD-16832,0.94,99.04,19397,922991,TRUE
DC-17480,0.81,99.19,19437,865895,TRUE
DT-85437,0.25,99.73,29786,960221,TRUE
DN-12659,0.38,99.60,19524,865427,TRUE
DN-36549,2.03,97.95,19238,637357,TRUE
DC-27531,3.13,96.85,11972,722497,TRUE
DN-47212,0.26,99.72,19528,685044,TRUE
DD-75983,0.97,99.01,19238,952663,TRUE
DN-42731,1.06,98.92,21679,751729,TRUE
DD-70939,0.95,99.03,19394,732306,TRUE
DN-23046,0.24,99.74,29786,945538,TRUE
DT-88533,0.96,99.02,19238,877248,TRUE
DD-79942,0.52,99.46,21761,986884,TRUE
DC-76593,0.20,99.78,29797,1001208,TRUE
DD-16408,1.05,98.93,19399,833899,TRUE
DN-59529,0.70,99.28,19325,940942,TRUE
DC-68128,1.74,98.24,19238,963104,TRUE
DD-15672,2.12,97.86,19238,648163,TRUE
DC-29745,2.59,97.39,19238,608001,TRUE
DC-49576,5.02,94.96,10108,524321,TRUE
DT-47161,4.27,95.72,7054,504113,TRUE
DT-75439,1.94,98.05,13369,566462,TRUE
DC-48394,3.96,96.02,7055,592682,TRUE
DC-38737,1.94,98.04,8582,531136,TRUE
DD-83921,1.34,98.64,19238,1185560,TRUE
DN-39770,0.86,99.12,19240,1004014,TRUE
DC-95661,1.52,98.46,21109,756419,TRUE
DN-98588,2.71,97.27,13443,678154,TRUE
DT-83492,0.19,99.79,21972,958280,TRUE
DT-87064,1.16,98.82,21679,712726,TRUE
DC-48580,1.14,98.84,19240,1033555,TRUE
DD-57071,0.71,99.27,19262,1049496,TRUE
DT-22352,1.14,98.84,19238,981257,TRUE
DT-74937,1.17,98.81,21679,1036228,TRUE
DT-85813,4.75,95.23,7055,682041,TRUE
DD-43610,0.24,99.74,29820,943064,TRUE
DC-17574,0.35,99.63,19534,946788,TRUE
DC-86550,0.24,99.74,29786,879539,TRUE
DT-96062,2.89,97.09,13393,576491,TRUE
DT-81730,1.30,98.68,19265,1012315,TRUE
DC-43540,0.39,99.59,19487,716766,TRUE
DN-84070,1.26,98.72,21688,750983,TRUE
DN-79537,0.56,99.42,19238,910016,TRUE
DN-51540,0.13,99.85,29819,1006103,TRUE
DC-60092,1.74,98.24,14385,790021,TRUE
